ababa bababa
sasas
saaaNom: Hamza, Email: hamza.laraisse@centrale-casablanca.ma, Fichier: test.txt, product name: voiture, company name: TOYOTA, product type: Aygo X, product_features:blanche, competitors name :jaguare, competitor product names:jdjdjd
Nom: Hamza, Email: hamza.laraisse@centrale-casablanca.ma, Fichier: test.txt, product name: voiture, company name: TOYOTA, product type: Aygo X, product_features:blanche, competitors name :jaguare, competitor product names:jdjdjd
Nom: Hamza, Email: hamza.laraisse@centrale-casablanca.ma, Fichier: test.txt, product name: voiture, company name: TOYOTA, product type: Aygo X, product_features:blanche, competitors name :jaguare, competitor product names:jdjdjd
Nom: Hamza, Email: hamza.laraisse@centrale-casablanca.ma, Fichier: test.txt, product name: voiture, company name: TOYOTA, product type: Aygo X, product_features:blanche, competitors name :jaguare, competitor product names:jdjdjd
Nom: Hamza, Email: hamza.laraisse@centrale-casablanca.ma, Fichier: test.txt, product name: qqq, company name: q, product type: Aygo X, product_features:ddddddd, competitors name :jaguare, competitor product names:www
Nom: ddddd, Email: hamza.laraisse@centrale-casablanca.ma, Fichier: test.txt, product name: qqq, company name: TOYOTA, product type: Aygo X, product_features:blanche, competitors name :jaguare, competitor product names:jdjdjd
Nom: ddddd, Email: hamza.laraisse@centrale-casablanca.ma, Fichier: test.txt, product name: qqq, company name: TOYOTA, product type: Aygo X, product_features:blanche, competitors name :jaguare, competitor product names:jdjdjd
Nom: hamza, Email: hamza.laraisse@centrale-casablanca.ma, Fichier: tweets_darija.txt, product name: ['SF90 Stradale', 'F8 Tributo', '488 Spider', 'Monza SP2', 'Portofino M', 'Roma', 'Testarossa', '812 Superfast', 'Enzo Ferrari'], company name: Ferrari, product type: test, product_features:['test'], competitors name :test, competitor product names:tes
Nom: hamza, Email: hamza.laraisse@centrale-casablanca.ma, Fichier: tweets_darija.txt, product name: ['SF90 Stradale', 'F8 Tributo', '488 Spider', 'Monza SP2', 'Portofino M', 'Roma', 'Testarossa', '812 Superfast', 'Enzo Ferrari'], company name: Ferrari, product_features:['blanche']
Nom: hamza, Email: hamza.laraisse@centrale-casablanca.ma, Fichier: tweets_darija.txt, product name: ['SF90 Stradale', 'F8 Tributo', '488 Spider', 'Monza SP2', 'Portofino M', 'Roma', 'Testarossa', '812 Superfast', 'Enzo Ferrari'], company name: Ferrari, product_features:['blanche']
Nom: hamza, Email: hamza.laraisse@centrale-casablanca.ma, Fichier: tweets_darija.txt, product name: ['SF90 Stradale', 'F8 Tributo', '488 Spider', 'Monza SP2', 'Portofino M', 'Roma', 'Testarossa', '812 Superfast', 'Enzo Ferrari'], company name: Ferrari, product_features:['blanche']
Nom: hamza, Email: hamza.laraisse@centrale-casablanca.ma, Fichier: tweets_darija.txt, product name: ['SF90 Stradale', 'F8 Tributo', '488 Spider', 'Monza SP2', 'Portofino M', 'Roma', 'Testarossa', '812 Superfast', 'Enzo Ferrari'], company name: Ferrari, product_features:['blanche']
Nom: hamza, Email: hamza.laraisse@centrale-casablanca.ma, Fichier: tweets_darija.txt, product name: ['SF90 Stradale', 'F8 Tributo', '488 Spider', 'Monza SP2', 'Portofino M', 'Roma', 'Testarossa', '812 Superfast', 'Enzo Ferrari'], company name: Ferrari, product_features:['blanche']
Nom: hamza, Email: hamza.laraisse@centrale-casablanca.ma, Fichier: tweets_darija.txt, product name: ['SF90 Stradale', 'F8 Tributo', '488 Spider', 'Monza SP2', 'Portofino M', 'Roma', 'Testarossa', '812 Superfast', 'Enzo Ferrari'], company name: Ferrari, product_features:['blanche']
Nom: hamza, Email: hamza.laraisse@centrale-casablanca.ma, Fichier: tweets_darija.txt, product name: ['SF90 Stradale', 'F8 Tributo', '488 Spider', 'Monza SP2', 'Portofino M', 'Roma', 'Testarossa', '812 Superfast', 'Enzo Ferrari'], company name: Ferrari, product_features:['blanche']
Nom: hamza, Email: hamza.laraisse@centrale-casablanca.ma, Fichier: tweets_darija.txt, product name: ['SF90 Stradale', 'F8 Tributo', '488 Spider', 'Monza SP2', 'Portofino M', 'Roma', 'Testarossa', '812 Superfast', 'Enzo Ferrari'], company name: Ferrari, product_features:['blanche']
Nom: hamza, Email: hamza.laraisse@centrale-casablanca.ma, Fichier: tweets_darija.txt, product name: ['SF90 Stradale', 'F8 Tributo', '488 Spider', 'Monza SP2', 'Portofino M', 'Roma', 'Testarossa', '812 Superfast', 'Enzo Ferrari'], company name: Ferrari, product_features:['blanche']
Nom: hamza, Email: hamza.laraisse@centrale-casablanca.ma, Fichier: tweets_darija.txt, product name: ['SF90 Stradale', 'F8 Tributo', '488 Spider', 'Monza SP2', 'Portofino M', 'Roma', 'Testarossa', '812 Superfast', 'Enzo Ferrari'], company name: Ferrari, product_features:['blanche']
Nom: hamza, Email: hamza.laraisse@centrale-casablanca.ma, Fichier: tweets_darija.txt, product name: ['SF90 Stradale', 'F8 Tributo', '488 Spider', 'Monza SP2', 'Portofino M', 'Roma', 'Testarossa', '812 Superfast', 'Enzo Ferrari'], company name: Ferrari, product_features:['blanche']
